,id,node_type,feature,threshold,N,impurity,distribution,labels,gpi,pi,gcr,lift_left,lift_right
37,6,Internal,VENTILATION,[0 2],466,0.6175376227228351,"[0.0043, 0.1159, 0.2361, 0.5558, 0.0279, 0.0601]","['0', '1', '2', '3', '4A', '4B']",0.07989897240132728,0.07499747103900956,,"[12.6913, 0.863, 0.8747, 0.6061, 6.5078, 2.0074]","[11.6569, 0.8602, 0.5114, 0.2416, 12.921, 3.9082]"
38,56,Leaf,,,20,0.42000000000000004,"[0.7, 0.3]","['2', '3']",,,"[3.1884, 1.0232]",,
39,57,Leaf,,,23,0.620037807183365,"[0.4783, 0.1739, 0.3478]","['1', '2', '3']",,,"[2.7676, 0.7921, 1.1863]",,
40,28,Internal,PUMNS_UP,[2],43,0.6533261222282315,"[0.2558, 0.4186, 0.3256]","['1', '2', '3']",0.2507036423841061,0.22555460449011477,,"[0.2656, 1.8441, 0.4918]","[1.9039, 0.2061, 1.3105]"
41,58,Leaf,,,20,0.5,"[0.5, 0.5]","['2', '3']",,,"[2.2774, 1.7053]",,
42,59,Leaf,,,41,0.40333135038667456,"[0.0976, 0.7561, 0.122, 0.0244]","['1', '2', '3', '4B']",,,"[0.5646, 3.4439, 0.4159, 0.0824]",,
43,29,Internal,Therapy,"{'0': ['R', 'i', 'l', 'u', 'z', 'o', 'l', 'o', ' ', 'a', 'n', 'd', ' ', 'E', 'd', 'a', 'r', 'a', 'v', 'o', 'n', 'e']}",61,0.48320343993550124,"[0.0656, 0.6721, 0.2459, 0.0164]","['1', '2', '3', '4B']",0.109067313850406,0.10399036740682865,,"[0.9416, 0.665, 0.9841, 15.2062]","[0.5513, 1.2552, 0.2111, 4.167]"
44,14,Internal,disease_duration,[0],104,0.5795118343195267,"[0.1442, 0.5673, 0.2788, 0.0096]","['1', '2', '3', '4B']",0.068952177418956,0.05717779685140294,,"[1.6387, 0.4612, 0.9748, 23.941]","[0.1661, 1.6227, 0.1125, 2.5047]"
45,60,Leaf,,,119,0.5104159310783136,"[0.0168, 0.6555, 0.2185, 0.1092]","['0', '1', '2', '3']",,,"[3.9552, 3.7931, 0.9952, 0.3726]",,
46,61,Leaf,,,170,0.6448442906574394,"[0.0118, 0.4059, 0.4059, 0.1588, 0.0176]","['0', '1', '2', '3', '4B']",,,"[2.7686, 2.3488, 1.8487, 0.5417, 0.0596]",,
47,30,Internal,Age_at_onset,[0 1],289,0.6137618084074663,"[0.0138, 0.5087, 0.3287, 0.1384, 0.0104]","['0', '1', '2', '3', '4B']",0.05215041070854628,0.047103285822251685,,"[2.3006, 1.5897, 0.1342, 0.5366, 3.9638]","[6.6304, 0.3017, 0.7425, 1.4949, 29.2629]"
48,62,Leaf,,,18,0.2901234567901233,"[0.1111, 0.8333, 0.0556]","['2', '3', '4B']",,,"[0.5061, 2.8422, 0.1877]",,
49,63,Leaf,,,19,0.6537396121883657,"[0.3158, 0.2632, 0.4211]","['1', '2', '3']",,,"[1.8274, 1.1986, 1.4361]",,
50,31,Internal,disease_duration,[0 2 3],37,0.5507669831994157,"[0.1622, 0.1892, 0.6216, 0.027]","['1', '2', '3', '4B']",0.17238276947895803,0.1567616437660892,,"[0.1271, 0.2713, 0.8255, 15.3526]","[2.2952, 1.7856, 0.2089, 5.925]"
51,15,Internal,PUMNS_LL,[0 1 2],326,0.6441905980654146,"[0.0123, 0.4693, 0.3129, 0.1933, 0.0123]","['0', '1', '2', '3', '4B']",0.06458090300689147,0.05915631624462659,,"[2.651, 1.3923, 0.4211, 0.5365, 6.4038]","[4.6373, 0.3237, 0.9039, 1.4746, 18.2074]"
52,7,Internal,MRC_UL,[1],430,0.6611681990265008,"[0.0093, 0.3907, 0.3744, 0.214, 0.0116]","['0', '1', '2', '3', '4B']",0.05493477319504212,0.05109314775128073,,"[8.8657, 0.2626, 0.6877, 1.8154, 14.5402]","[4.1994, 1.764, 0.2088, 0.3554, 10.1101]"
53,3,Internal,MRC_Bulbar,[0 1 2],896,0.6920589524872449,"[0.0067, 0.2478, 0.3025, 0.3917, 0.0145, 0.0368]","['0', '1', '2', '3', '4A', '4B']",0.08291010034547874,0.08044553700871863,,"[4.9986, 0.3447, 0.4451, 0.9114, 11.8359, 5.9122]","[6.538, 1.8361, 0.5145, 0.2658, 6.3365, 4.062]"
54,1,Internal,VENTILATION,[1],1412,0.7481161071832693,"[0.0042, 0.1728, 0.2195, 0.2932, 0.0142, 0.296]","['0', '1', '2', '3', '4A', '4B']",0.22914102373129144,0.21636950549815065,,"[13.0832, 0.6648, 1.4117, 0.3746, 17.253, 0.5586]","[12.8773, 1.4024, 0.6363, 0.9639, 9.5261, 0.4921]"
