KINGS_TOT
3
4B
4B
4B
4B
4B
4B
3
3
3
3
2
3
3
3
3
3
3
4B
4B
4B
2
3
3
3
3
3
4A
4B
3
2
2
4B
4B
4B
1
2
2
2
2
2
2
2
2
3
1
1
4B
2
3
4B
4B
4B
4B
4B
2
3
3
2
2
3
2
3
3
3
3
3
4B
4B
4B
4B
3
4B
4B
4B
4B
4B
4B
4B
1
3
3
3
3
3
4B
4B
3
2
1
1
4B
1
1
2
1
1
1
3
2
3
4B
4B
4B
4B
4A
4B
1
2
3
2
4B
4B
4B
4B
4B
2
2
3
4B
3
3
2
3
2
1
2
2
2
2
3
3
2
2
3
2
3
2
2
3
3
1
1
1
4B
1
1
1
3
3
3
3
3
3
3
3
3
3
3
3
3
1
2
1
4B
4B
3
4B
2
1
2
3
2
2
3
3
3
3
3
3
3
3
3
3
3
3
3
4B
2
4B
4B
4B
4B
4B
4B
4B
3
3
3
3
3
3
3
3
3
3
3
3
3
3
4B
2
2
2
3
2
2
2
2
2
2
2
2
2
2
2
3
2
2
2
2
2
2
4B
2
2
2
2
3
4B
4B
4B
4B
4B
4B
2
2
2
1
1
4B
1
1
1
2
3
3
3
3
2
2
3
3
3
3
3
4B
2
1
2
2
2
2
2
3
3
3
2
1
2
2
4A
4A
4A
3
2
2
2
1
3
3
3
3
4B
3
1
2
3
4A
3
3
1
1
1
2
3
3
3
3
2
3
2
2
2
3
3
3
2
2
3
3
2
3
3
4B
4B
4B
4B
4B
4B
4B
1
2
2
4B
4B
3
3
3
1
1
1
1
1
2
1
1
1
1
1
2
2
4B
4B
4B
4B
4B
4B
4B
4B
4B
4B
4B
4B
1
2
4B
4B
3
4B
3
3
3
3
3
3
3
3
4B
4A
4B
4B
3
3
3
3
3
3
1
4B
4B
4B
4B
4B
4B
4B
4B
4B
1
1
2
1
1
1
1
1
1
2
1
2
4B
4B
1
1
1
2
2
2
2
1
1
1
1
1
4B
4B
4B
2
1
1
2
1
2
2
2
3
2
1
4B
4B
1
2
3
1
2
2
1
1
2
1
2
3
4A
4B
4B
4B
2
2
2
2
2
2
3
3
3
3
4B
4B
1
1
3
2
3
3
3
3
3
4B
1
1
1
1
1
1
1
2
1
1
1
1
1
1
1
1
2
2
2
2
2
2
2
1
1
1
2
2
2
3
4B
4B
1
1
1
2
1
3
2
2
2
2
3
3
4B
3
3
3
3
3
3
3
1
2
2
3
4B
4B
4B
4B
4B
4B
3
3
4A
3
4B
4B
1
1
1
3
3
2
3
3
3
3
3
3
2
2
2
3
